uint32	uint8	uint32	uint32	uint32	uint32	uint32	uint32	uint32	uint32	uint32
cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs
id	enemygroup_id	number	hero_id	soldier_id	hero_lv	hero_rank	hero_talent	hero_equip	soldier_keep	soldier_passive
10101	1	1	1509	1521	1	0	2539	0	10	1
10101	1	2	1209	1221	1	0	894	0	10	1
10101	2	1	1607	1611	1	0	3056	0	10	1
10101	2	2	1107	1611	1	0	283	0	10	1
10101	3	1	1409	1431	1	0	2022	0	10	1
10101	3	2	1609	1631	1	0	3150	0	10	1
10101	4	1	1208	1211	1	0	847	0	10	1
10101	4	2	1210	1521	1	0	941	0	10	1
10101	5	1	1107	1611	1	0	283	0	10	1
10101	5	2	1609	1631	1	0	3150	0	10	1
10101	6	1	1210	1521	1	0	941	0	10	1
10101	6	2	1509	1531	1	0	2539	0	10	1
10101	7	1	1410	1431	1	0	2069	0	10	1
10101	7	2	1107	1611	1	0	283	0	10	1
10102	1	1	1210	1521	3	0	942	0	100	1
10102	1	2	1311	1311	3	0	1553	0	100	1
10102	2	1	1410	1431	3	0	2070	0	100	1
10102	2	2	1409	1431	3	0	2023	0	100	1
10102	3	1	1607	1611	3	0	3057	0	100	1
10102	3	2	1410	1431	3	0	2070	0	100	1
10102	4	1	1507	1511	3	0	2446	0	100	1
10102	4	2	1509	1511	3	0	2540	0	100	1
10102	5	1	1410	1431	3	0	2070	0	100	1
10102	5	2	1607	1611	3	0	3057	0	100	1
10102	6	1	1308	1311	3	0	1412	0	100	1
10102	6	2	1308	1311	3	0	1412	0	100	1
10102	7	1	1208	1211	3	0	848	0	100	1
10102	7	2	1210	1521	3	0	942	0	100	1
10103	1	1	1210	1521	5	0	943	0	200	2
10103	1	2	1308	1311	5	0	1413	0	200	2
10103	2	1	1410	1431	5	0	2071	0	200	2
10103	2	2	1607	1611	5	0	3058	0	200	2
10103	3	1	1107	1611	5	0	285	0	200	2
10103	3	2	1607	1611	5	0	3058	0	200	2
10103	4	1	1208	1211	5	0	849	0	200	2
10103	4	2	1311	1311	5	0	1554	0	200	2
10103	5	1	1409	1431	5	0	2024	0	200	2
10103	5	2	1410	1431	5	0	2071	0	200	2
10103	6	1	1308	1311	5	0	1413	0	200	2
10103	6	2	1311	1311	5	0	1554	0	200	2
10103	7	1	1509	1511	5	0	2541	0	200	2
10103	7	2	1208	1211	5	0	849	0	200	2
10104	1	1	1507	1511	8	0	2449	20111	210	3
10104	1	1	1308	1311	8	0	1415	20111	210	3
10104	1	2	1308	1311	8	0	1415	20111	210	3
10104	1	2	1210	1521	8	0	945	20141	210	3
10104	1	3	1305	1311	8	0	1274	20131	105	3
10104	1	3	1509	1511	8	0	2543	20131	210	3
10104	1	4	1312	1221	8	0	1603	20141	173	3
10104	1	4	1509	1511	8	0	2543	20131	210	3
10104	1	5	1305	1311	8	0	1274	20131	105	3
10104	1	5	1311	1311	8	0	1556	20131	210	3
10104	1	6	1302	1511	8	0	1133	20131	173	3
10104	1	6	1507	1511	8	0	2449	20111	210	3
10104	2	1	1607	1611	8	0	3060	20111	210	3
10104	2	1	1410	1431	8	0	2073	20111	210	3
10104	2	2	1107	1611	8	0	287	20131	210	3
10104	2	2	1410	1431	8	0	2073	20111	210	3
10104	2	3	1103	1631	8	0	99	20141	105	3
10104	2	3	1607	1611	8	0	3060	20111	210	3
10104	2	4	1610	1631	8	0	3201	20141	173	3
10104	2	4	1607	1611	8	0	3060	20111	210	3
10104	2	5	1404	1431	8	0	1791	20121	105	3
10104	2	5	1107	1611	8	0	287	20131	210	3
10104	2	6	1610	1631	8	0	3201	20141	173	3
10104	2	6	1410	1431	8	0	2073	20111	210	3
10104	3	1	1609	1631	8	0	3154	20141	210	3
10104	3	1	1607	1611	8	0	3060	20111	210	3
10104	3	2	1409	1431	8	0	2026	20111	210	3
10104	3	2	1109	1611	8	0	381	20131	210	3
10104	3	3	1403	1431	8	0	1744	20131	105	3
10104	3	3	1410	1431	8	0	2073	20111	210	3
10104	3	4	1610	1631	8	0	3201	20141	173	3
10104	3	4	1410	1431	8	0	2073	20111	210	3
10104	3	5	1103	1631	8	0	99	20141	105	3
10104	3	5	1609	1631	8	0	3154	20141	210	3
10104	3	6	1102	1431	8	0	52	20111	173	3
10104	3	6	1107	1611	8	0	287	20131	210	3
10104	4	1	1509	1511	8	0	2543	20131	210	3
10104	4	1	1209	1221	8	0	898	20141	210	3
10104	4	2	1210	1521	8	0	945	20141	210	3
10104	4	2	1209	1221	8	0	898	20141	210	3
10104	4	3	1207	1511	8	0	804	20111	105	3
10104	4	3	1208	1211	8	0	851	20141	210	3
10104	4	4	1201	1311	8	0	522	20131	173	3
10104	4	4	1308	1311	8	0	1415	20111	210	3
10104	4	5	1207	1511	8	0	804	20111	105	3
10104	4	5	1210	1521	8	0	945	20141	210	3
10104	4	6	1302	1511	8	0	1133	20131	173	3
10104	4	6	1210	1521	8	0	945	20141	210	3
10104	5	1	1607	1611	8	0	3060	20111	210	3
10104	5	1	1409	1431	8	0	2026	20111	210	3
10104	5	2	1607	1611	8	0	3060	20111	210	3
10104	5	2	1609	1631	8	0	3154	20141	210	3
10104	5	3	1404	1431	8	0	1791	20121	105	3
10104	5	3	1410	1431	8	0	2073	20111	210	3
10104	5	4	1401	1431	8	0	1650	20121	173	3
10104	5	4	1609	1631	8	0	3154	20141	210	3
10104	5	5	1104	1611	8	0	146	20131	105	3
10104	5	5	1107	1611	8	0	287	20131	210	3
10104	5	6	1401	1431	8	0	1650	20121	173	3
10104	5	6	1109	1611	8	0	381	20131	210	3
10104	6	1	1308	1311	8	0	1415	20111	210	3
10104	6	1	1311	1311	8	0	1556	20131	210	3
10104	6	2	1208	1211	8	0	851	20141	210	3
10104	6	2	1311	1311	8	0	1556	20131	210	3
10104	6	3	1301	1221	8	0	1086	20141	105	3
10104	6	3	1507	1511	8	0	2449	20111	210	3
10104	6	4	1312	1221	8	0	1603	20141	173	3
10104	6	4	1210	1521	8	0	945	20141	210	3
10104	6	5	1502	1521	8	0	2214	20141	105	3
