uint16	uint16	uint16	uint16
cs	cs	cs	cs
soldier_group_id	soldier_id	limit_group_id	limit_group_cost
101	1213	0	0
101	1223	0	0
101	1233	0	0
101	1243	0	0
101	1313	0	0
101	1323	0	0
101	1333	0	0
101	1343	0	0
101	1513	0	0
101	1523	0	0
101	1533	0	0
101	1543	0	0
101	3101	1	1
101	3102	1	1
101	3103	1	1
101	3104	1	1
101	3105	1	1
101	3106	1	1
101	1254	1	2
101	1354	1	2
101	1554	1	2
102	1113	0	0
102	1123	0	0
102	1133	0	0
102	1143	0	0
102	1413	0	0
102	1423	0	0
102	1433	0	0
102	1443	0	0
102	1613	0	0
102	1623	0	0
102	1633	0	0
102	1643	0	0
102	3101	1	1
102	3102	1	1
102	3103	1	1
102	3104	1	1
102	3105	1	1
102	3106	1	1
102	1154	1	2
102	1454	1	2
102	1654	1	2
