uint8	uint32	uint32	uint16
kind	id	target_id	event_id
1	10000	1103	0
1	10001	1104	0
1	10002	1105	0
1	10003	1106	0
1	10004	1112	0
1	10005	1113	0
1	10006	1114	0
1	10007	1116	0
1	10008	1203	0
1	10009	1204	0
1	10010	1205	0
1	10011	1206	0
1	10012	1207	0
1	10013	1213	0
1	10014	1214	0
1	10015	1215	0
1	10016	1299	13106
1	10017	1301	0
1	10018	1303	0
1	10019	1304	0
1	10020	1305	0
1	10021	1306	0
1	10022	1307	0
1	10023	1313	0
1	10024	1315	0
1	10025	1316	0
1	10026	1317	0
1	10027	1403	0
1	10028	1404	0
1	10029	1405	0
1	10030	1406	0
1	10031	1412	0
1	10032	1413	0
1	10033	1414	0
1	10034	1417	0
1	10036	1501	0
1	10037	1502	0
1	10038	1503	0
1	10039	1504	0
1	10040	1512	13102
1	10042	1514	0
1	10043	1515	0
1	10044	1516	0
1	10045	1517	0
1	10046	1599	0
1	10047	1603	0
1	10048	1604	0
1	10049	1605	0
1	10050	1606	0
1	10051	1612	0
1	10052	1613	0
1	10053	1614	0
1	10055	1699	0
1	10056	3101	0
1	10057	3108	0
1	10058	1101	0
1	10059	1102	0
1	10060	1108	0
1	10061	1111	0
1	10062	1201	0
1	10063	1202	0
1	10064	1211	0
1	10065	1212	0
1	10066	1302	0
1	10067	1309	0
1	10068	1312	0
1	10069	1401	0
1	10070	1402	0
1	10071	1408	0
1	10072	1411	0
1	10073	1505	0
1	10075	1510	0
1	10076	1511	0
1	10078	1602	0
1	10079	1610	0
1	10080	1611	0
1	10081	3102	0
1	10082	3103	0
1	10083	3104	0
1	10084	3105	0
1	10085	3106	0
1	10086	3107	0
1	10087	1107	0
1	10088	1109	0
1	10089	1110	0
1	10090	1208	0
1	10091	1209	0
1	10092	1210	0
1	10093	1308	0
1	10094	1310	0
1	10095	1311	0
1	10096	1407	0
1	10097	1409	0
1	10098	1410	0
1	10099	1507	0
1	10100	1508	0
1	10101	1509	0
1	10102	1607	0
1	10103	1608	0
1	10104	1609	0
2	20000	40001	0
2	20001	40002	0
2	20002	40006	0
2	20003	40008	0
2	20004	40013	0
2	20005	40014	0
2	20006	40016	0
2	20007	42001	0
2	20008	42002	0
2	20009	42003	0
2	20010	42004	0
2	20011	42005	0
2	20012	42006	0
2	20013	42011	0
2	20014	42012	0
2	20015	43001	0
2	20016	43002	0
2	20017	43003	0
2	20018	43004	0
2	20019	43005	0
2	20020	43006	0
2	20021	43007	0
2	20022	43008	0
2	20023	43009	0
2	20024	46002	0
2	20025	46003	0
2	20026	46004	0
2	20027	46006	0
2	20028	46007	0
2	20029	46008	0
2	20030	46009	0
2	20031	46010	0
2	20032	46011	0
2	20033	46012	0
2	20034	46013	0
2	20035	60001	0
2	20036	60002	0
2	20037	60003	0
2	20038	60004	0
2	20039	60005	0
2	20040	60006	0
2	20041	60007	0
2	20042	60008	0
2	20043	60009	0
2	20044	60010	0
2	20045	60011	0
2	20046	60012	0
2	20047	60013	0
2	20048	60014	0
2	20049	60015	0
2	20050	60016	0
2	20051	60017	0
2	20052	60018	0
2	20053	60019	0
2	20054	60020	0
2	20055	60021	0
2	20056	60022	0
2	20057	60023	0
2	20058	60024	0
2	20059	60025	0
2	20060	60026	0
2	20061	60027	0
2	20062	60028	0
2	20063	60029	13103
2	20064	60031	0
2	20065	60032	0
2	20066	60033	0
2	20067	60034	0
2	20068	60035	0
2	20069	60036	0
2	20070	60037	0
2	20071	60038	0
2	20072	60039	0
2	20073	60040	0
2	20074	60041	0
2	20075	60042	0
2	20076	60043	0
2	20077	60044	0
2	20078	60045	0
2	20079	60046	0
2	20080	60047	0
2	20081	60048	0
2	20082	60049	0
2	20083	60050	0
2	20084	60051	0
2	20085	60052	0
2	20086	60053	0
2	20087	60054	0
2	20088	60055	13107
2	20091	30001	0
2	20092	30002	0
2	20093	30003	0
2	20094	30004	0
2	20095	30005	0
2	20096	30006	0
2	20097	30007	0
2	20098	30008	0
2	20099	30009	0
2	20100	32001	0
2	20101	32002	0
2	20102	32004	0
2	20103	32005	0
2	20104	32006	0
2	20105	32007	0
2	20106	34001	0
2	20107	34002	0
2	20108	34003	0
2	20109	34004	0
2	20110	34006	0
2	20111	34007	0
2	20112	36001	0
2	20113	36003	0
2	20114	36004	0
2	20115	36005	0
2	20116	36006	0
2	20117	36007	0
2	20118	36008	0
2	20119	10001	0
2	20120	10002	0
2	20121	12001	0
2	20122	14001	0
2	20123	20001	0
2	20124	20002	0
2	20125	20003	0
2	20126	20004	0
2	20127	20005	0
2	20128	20006	0
2	20129	20007	0
2	20130	22001	0
2	20131	22002	0
2	20132	22003	0
2	20133	22004	0
2	20134	24001	0
2	20135	24002	0
2	20136	24003	0
2	20137	24004	0
